price,bedroom,hsize,lsize,location,facility
6000000000 ,4,450,370,Blimbing,
1770000000 ,3,150,190,Sukun,
650000000 ,3,90,114,Malang,5.0
1300000000 ,4,175,84,Malang,
900000000 ,2,60,77,Malang,
1700000000 ,3,140,108,Hatta,
12000000000 ,5,600,1124,Kota,
2900000000 ,5,220,265,Sukun,
1500000000 ,3,120,132,Malang,
5750000000 ,6,660,460,Malang,
2500000000 ,12,254,107,Lowokwaru,
2450000000 ,3,225,154,Dieng,
1700000000 ,5,90,112,Lowokwaru,
1350000000 ,2,172,92,Sukun,3.0
2750000000 ,3,230,162,Malang,
6500000000 ,5,600,417,Malang,
8999999999 ,5,300,498,Blimbing,7.0
900000000 ,4,170,108,Malang,
1600000000 ,8,210,231,Malang,
2300000000 ,4,275,216,Polowijen,5.0
8900000000 ,8,700,400,Tidar,
650000000 ,2,141,86,Sulfat,
2000000000 ,5,180,197,Klojen,
2550000000 ,6,385,245,Lowokwaru,
5500000000 ,4,300,601,Pakis,
1900000000 ,3,150,189,Tidar,
2400000000 ,3,110,135,Jingga,
11500000000 ,5,600,861,Tidar,
530000000 ,2,40,73,Tunjungsekar,1.0
1250000000 ,3,96,150,Malang,
919000000 ,3,72,84,Jatimulyo,4.0
950000000 ,3,140,70,Klojen,
2250000000 ,3,100,144,Gunung-gunung,
2100000000 ,3,190,190,Dau,6.0
375000000 ,2,56,72,Mandiri,
1200000000 ,2,1,142,Buring,3.0
2650000000 ,4,250,221,Lowokwaru,
525000000 ,3,100,89,Blimbing,
460000000 ,3,54,78,Malang,
641000000 ,3,65,71,Blimbing,
800000000 ,3,72,82,Malang,
2300000000 ,3,150,174,Lowokwaru,
1700000000 ,5,210,120,Blimbing,
930000000 ,3,80,111,Hatta,
2500000000 ,6,198,234,Hatta,
3350000000 ,3,200,404,Dieng,
530000000 ,2,40,73,Tunjungsekar,2.0
625000000 ,3,69,60,Malang,
975000000 ,3,95,102,Sulfat,
1400000000 ,4,200,252,Lowokwaru,
3418000000 ,4,167,241,Dieng,
2700000000 ,2,150,344,Lowokwaru,
279000000 ,2,38,66,Cemorokandang,9.0
465000000 ,3,63,72,Lowokwaru,
8500000000 ,6,600,476,Malang,
265000000 ,2,36,60,Lowokwaru,2.0
3350000000 ,3,226,200,Hatta,
1500000000 ,3,180,152,Shanta,
499000000 ,2,38,63,Merjosari,
8000000000 ,4,400,450,Malang,
2400000000 ,3,170,201,Malang,
2200000000 ,3,88,105,Lowokwaru,
2750000000 ,4,200,360,Lowokwaru,
1250000000 ,5,210,175,Sukun,
850000000 ,2,79,134,Malang,
600000000 ,2,125,125,Malang,
3200000000 ,5,350,266,Lowokwaru,
850000000 ,5,100,164,Malang,
1200000000 ,2,80,117,Klojen,2.0
1250000000 ,3,60,137,Blimbing,
475000000 ,2,40,60,Blimbing,
850000000 ,3,65,108,Hatta,
2750000000 ,7,200,168,Lowokwaru,4.0
5600000000 ,4,330,330,Lowokwaru,8.0
1500000000 ,5,250,186,Sukun,
452000000 ,2,50,61,Singosari,7.0
4825000000 ,4,350,386,Lowokwaru,2.0
3500000000 ,5,200,244,Lowokwaru,
2750000000 ,3,220,320,Lowokwaru,
2500000000 ,4,275,216,Blimbing,
1600000000 ,3,193,193,Lowokwaru,
450000000 ,2,120,60,Lowokwaru,
1300000000 ,4,152,152,Malang,
1800000000 ,6,260,177,Sukun,
6500000000 ,8,500,600,Lowokwaru,
9000000000 ,5,302,595,Blimbing,7.0
3500000000 ,8,300,299,Lowokwaru,1.0
675000000 ,3,60,81,Malang,
950000000 ,3,70,80,Blimbing,3.0
594000000 ,42,69,69,Lowokwaru,
17000000000 ,20,600,553,Lowokwaru,8.0
585000000 ,2,50,84,Blimbing,
2250000000 ,3,155,240,Blimbing,
900000000 ,2,98,90,Araya,
1500000000 ,3,178,178,Lowokwaru,
2800000000 ,3,170,250,Blimbing,
1800000000 ,5,195,200,Klojen,1.0
2890000000 ,5,395,434,Araya,
700000000 ,10,120,60,Lowokwaru,
2700000000 ,4,134,120,Lowokwaru,
511000000 ,2,55,71,No.12,1.0
1450000000 ,5,140,125,Blimbing,
5400000000 ,9,400,237,Lowokwaru,4.0
635000000 ,2,45,98,Blimbing,5.0
550000000 ,3,85,85,Bandulan,1.0
7750000000 ,33,630,411,Hatta,
1600000000 ,5,250,171,Blimbing,
1350000000 ,4,200,200,Malang,
675000000 ,6,130,68,Lowokwaru,
1750000000 ,3,198,234,Lowokwaru,
975000000 ,3,76,97,Lowokwaru,7.0
2500000000 ,2,100,200,Tidar,
1400000000 ,3,110,125,Lowokwaru,
700000000 ,3,70,71,Blimbing,3.0
650000000 ,3,72,90,Sukun,6.0
675000000 ,3,110,84,Lawang,
1250000000 ,3,135,135,Lowokwaru,
11000000000 ,5,500,715,Sukun,8.0
6000000000 ,9,250,429,Dinoyo,
1500000000 ,3,100,375,Sukun,
1700000000 ,2,120,100,Dieng,
450000000 ,2,38,89,Malang,
2750000000 ,2,120,144,Gunung-gunung,
575000000 ,2,91,91,Gadang,2.0
850000000 ,2,45,84,Sukun,
3400000000 ,4,400,350,Lowokwaru,
650000000 ,3,196,196,Malang,
2550000000 ,5,250,240,Lowokwaru,5.0
325000000 ,2,36,60,Dau,
1700000000 ,3,200,100,Klojen,1.0
1800000000 ,4,180,110,Lowokwaru,3.0
650000000 ,3,96,96,Lowokwaru,
1300000000 ,5,120,152,Lowokwaru,
700000000 ,2,55,103,Tunggulwulung,5.0
687344000 ,2,36,91,Blimbing,
4300000000 ,5,375,312,Malang,
700000000 ,2,70,91,Blimbing,1.0
2300000000 ,14,480,248,Lowokwaru,
2600000000 ,3,180,200,Araya,
225000000 ,2,36,74,Karangploso,
453667500 ,2,55,55,Sukun,5.0
1550000000 ,4,145,180,Lowokwaru,
1700000000 ,3,145,126,Blimbing,
3500000000 ,22,350,160,Malang,
1400000000 ,3,86,86,Blimbing,4.0
1400000000 ,4,136,137,Malang,
277000011 ,2,30,64,Sukun,
1100000000 ,3,159,126,Lowokwaru,4.0
7500000000 ,6,700,600,Blimbing,
550000000 ,2,60,112,Blimbing,
975000000 ,3,130,140,Lowokwaru,
35000000000 ,4,1107,1107,Ijen,5.0
900000000 ,4,68,121,Lowokwaru,
465000000 ,2,57,55,Dau,2.0
2500000000 ,5,299,263,Lowokwaru,1.0
700000000 ,3,200,239,Ploso,1.0
875000000 ,3,72,81,Blimbing,
550000000 ,4,100,126,Tlogomas,2.0
1150000000 ,2,60,91,Pakis,4.0
1900000000 ,3,110,200,Dau,6.0
2250000000 ,3,400,200,Lowokwaru,
550000000 ,2,100,140,Blimbing,
1700000000 ,5,105,117,Lowokwaru,
16000000000 ,6,700,2050,Lowokwaru,
900000000 ,3,100,91,Kedungkandang,
585000000 ,2,70,78,Lowokwaru,1.0
299000000 ,2,36,72,Cemorokandang,18.0
2700000000 ,18,111,111,Blimbing,2.0
12000000000 ,6,500,500,Tidar,
335000000 ,2,31,60,Lowokwaru,5.0
599000000 ,3,65,72,Pakis,
650000000 ,2,40,72,Tunggulwulung,5.0
350000000 ,2,40,40,Arjosari,4.0
6000000000 ,6,250,481,Lowokwaru,
8700000000 ,6,500,388,Lowokwaru,
1500000000 ,5,225,250,Singosari,
1700000000 ,5,160,132,Blimbing,
2600000000 ,4,180,120,Araya,
499000000 ,3,60,72,Ploso,10.0
1470000000 ,3,170,198,Blimbing,10.0
900000000 ,3,90,117,Blimbing,
538000000 ,2,50,80,Tlogomas,10.0
4950000000 ,6,400,247,Gunung-gunung,
1000000000 ,2,100,140,Malang,
525000000 ,3,60,105,Lowokwaru,
295000000 ,2,40,69,Kedungkandang,3.0
9000000000 ,5,620,501,Dinoyo,
399000000 ,2,36,72,Madu,
1700000000 ,2,181,200,Dau,
2700000000 ,3,140,135,Lowokwaru,
1450000000 ,4,90,121,Lowokwaru,
1600000000 ,5,111,180,Sukun,3.0
700000000 ,3,200,110,Ploso,
8000000000 ,6,550,395,Lowokwaru,
1700000000 ,5,320,274,Blimbing,11.0
450000000 ,2,60,89,Lowokwaru,3.0
2800000000 ,5,290,200,Blimbing,6.0
670000000 ,2,55,60,Blimbing,2.0
13000000000 ,7,400,1090,Klojen,
